date,straddle_entry,straddle_exit,pl_points,pl_dollars
2021-10-25 11:00:00,13.89,11.41,2.48,248.0
2021-10-25 12:00:00,13.89,14.77,-0.88,-88.0
2021-10-25 13:00:00,13.89,16.1,-2.21,-221.0
2021-10-25 14:00:00,13.89,15.95,-2.06,-206.0
2021-10-25 15:00:00,13.89,15.7,-1.81,-181.0
2021-10-27 11:00:00,14.4,15.4,-1.0,-100.0
2021-10-27 12:00:00,14.4,14.75,-0.35,-35.0
2021-10-27 13:00:00,14.4,14.8,-0.4,-40.0
2021-10-27 14:00:00,14.4,17.0,-2.6,-260.0
2021-10-27 15:00:00,14.4,13.68,0.72,72.0
2021-11-03 11:00:00,22.5,21.68,0.82,82.0
2021-11-03 12:00:00,22.5,20.6,1.9,190.0
2021-11-03 13:00:00,22.5,20.17,2.33,233.0
2021-11-03 14:00:00,22.5,19.9,2.6,260.0
2021-11-03 15:00:00,22.5,25.26,-2.76,-276.0
2021-11-05 11:00:00,15.3,11.6,3.7,370.0
2021-11-05 12:00:00,15.3,10.8,4.5,450.0
2021-11-05 13:00:00,15.3,11.75,3.55,355.0
2021-11-05 14:00:00,15.3,10.6,4.7,470.0
2021-11-05 15:00:00,15.3,10.3,5.0,500.0
2021-11-08 11:00:00,15.15,12.57,2.58,258.0
2021-11-08 12:00:00,15.15,10.4,4.75,475.0
2021-11-08 13:00:00,15.15,9.42,5.73,573.0
2021-11-08 14:00:00,15.15,7.8,7.35,735.0
2021-11-08 15:00:00,15.15,8.22,6.93,693.0
2021-11-10 11:00:00,16.0,13.3,2.7,270.0
2021-11-10 12:00:00,16.0,10.6,5.4,540.0
2021-11-10 13:00:00,16.0,15.9,0.1,10.0
2021-11-10 14:00:00,16.0,13.8,2.2,220.0
2021-11-10 15:00:00,16.0,13.52,2.48,248.0
2021-11-15 11:00:00,13.7,11.6,2.1,210.0
2021-11-15 12:00:00,13.7,13.0,0.7,70.0
2021-11-15 13:00:00,13.7,12.3,1.4,140.0
2021-11-15 14:00:00,13.7,11.39,2.31,231.0
2021-11-15 15:00:00,13.7,11.25,2.45,245.0
2021-11-22 11:00:00,13.29,10.0,3.29,329.0
2021-11-22 12:00:00,13.29,10.0,3.29,329.0
2021-11-22 13:00:00,13.29,9.5,3.79,379.0
2021-11-22 14:00:00,13.29,9.4,3.89,389.0
2021-11-22 15:00:00,13.29,9.55,3.74,374.0
2021-12-03 11:00:00,42.4,46.6,-4.2,-420.0
2021-12-03 12:00:00,42.4,42.7,-0.3,-30.0
2021-12-03 13:00:00,42.4,42.65,-0.25,-25.0
2021-12-03 14:00:00,42.4,41.1,1.3,130.0
2021-12-03 15:00:00,42.4,40.27,2.13,213.0
2021-12-08 11:00:00,24.0,20.9,3.1,310.0
2021-12-08 12:00:00,24.0,14.9,9.1,910.0
2021-12-08 13:00:00,24.0,13.5,10.5,1050.0
2021-12-08 14:00:00,24.0,11.8,12.2,1220.0
2021-12-08 15:00:00,24.0,13.72,10.28,1028.0
2021-12-10 11:00:00,20.3,18.65,1.65,165.0
2021-12-10 12:00:00,20.3,24.8,-4.5,-450.0
2021-12-10 13:00:00,20.3,25.6,-5.3,-530.0
2021-12-10 14:00:00,20.3,27.700000000000003,-7.4,-740.0
2021-12-10 15:00:00,20.3,22.9,-2.6,-260.0
2021-12-29 11:00:00,16.65,21.6,-4.95,-495.0
2021-12-29 12:00:00,16.65,17.0,-0.35,-35.0
2021-12-29 13:00:00,16.65,17.29,-0.64,-64.0
2021-12-29 14:00:00,16.65,18.2,-1.55,-155.0
2021-12-29 15:00:00,16.65,19.0,-2.35,-235.0
2021-12-31 11:00:00,19.9,16.299999999999997,3.6,360.0
2021-12-31 12:00:00,19.9,15.49,4.41,441.0
2021-12-31 13:00:00,19.9,14.1,5.8,580.0
2021-12-31 14:00:00,19.9,14.41,5.49,549.0
