date,straddle_entry,straddle_exit,pl_points,pl_dollars
2021-10-25 11:00:00,13.89,16.107,-2.22,-221.7
2021-10-25 12:00:00,13.89,18.057,-4.17,-416.7
2021-10-25 13:00:00,13.89,18.057,-4.17,-416.7
2021-10-25 14:00:00,13.89,18.057,-4.17,-416.7
2021-10-25 15:00:00,13.89,18.057,-4.17,-416.7
2021-10-27 11:00:00,14.4,11.13,3.27,327.0
2021-10-27 12:00:00,14.4,10.48,3.92,392.0
2021-10-27 13:00:00,14.4,10.53,3.87,387.0
2021-10-27 14:00:00,14.4,12.73,1.67,167.0
2021-10-27 15:00:00,14.4,9.41,4.99,499.0
2021-11-03 11:00:00,22.5,25.18,-2.68,-268.0
2021-11-03 12:00:00,22.5,24.2,-1.7,-170.0
2021-11-03 13:00:00,22.5,23.1,-0.6,-60.0
2021-11-03 14:00:00,22.5,26.34,-3.84,-384.0
2021-11-03 15:00:00,22.5,29.25,-6.75,-675.0
2021-11-05 11:00:00,15.3,11.6,3.7,370.0
2021-11-05 12:00:00,15.3,9.87,5.43,543.0
2021-11-05 13:00:00,15.3,8.32,6.98,698.0
2021-11-05 14:00:00,15.3,7.170000000000001,8.13,813.0
2021-11-05 15:00:00,15.3,6.870000000000001,8.43,843.0
2021-11-08 11:00:00,15.15,16.625,-1.47,-147.5
2021-11-08 12:00:00,15.15,17.725,-2.58,-257.5
2021-11-08 13:00:00,15.15,19.695,-4.55,-454.5
2021-11-08 14:00:00,15.15,19.695,-4.55,-454.5
2021-11-08 15:00:00,15.15,19.695,-4.55,-454.5
2021-11-10 11:00:00,16.0,15.510000000000002,0.49,49.0
2021-11-10 12:00:00,16.0,13.41,2.59,259.0
2021-11-10 13:00:00,16.0,11.21,4.79,479.0
2021-11-10 14:00:00,16.0,9.11,6.89,689.0
2021-11-10 15:00:00,16.0,8.83,7.17,717.0
2021-11-15 11:00:00,13.7,11.989999999999998,1.71,171.0
2021-11-15 12:00:00,13.7,9.29,4.41,441.0
2021-11-15 13:00:00,13.7,8.59,5.11,511.0
2021-11-15 14:00:00,13.7,7.68,6.02,602.0
2021-11-15 15:00:00,13.7,7.54,6.16,616.0
2021-11-22 11:00:00,13.29,10.0,3.29,329.0
2021-11-22 12:00:00,13.29,6.779999999999999,6.51,651.0
2021-11-22 13:00:00,13.29,6.279999999999999,7.01,701.0
2021-11-22 14:00:00,13.29,6.18,7.11,711.0
2021-11-22 15:00:00,13.29,6.329999999999999,6.96,696.0
2021-12-03 11:00:00,42.4,32.6,9.8,980.0
2021-12-03 12:00:00,42.4,28.7,13.7,1370.0
2021-12-03 13:00:00,42.4,28.65,13.75,1375.0
2021-12-03 14:00:00,42.4,27.1,15.3,1530.0
2021-12-03 15:00:00,42.4,26.27,16.13,1613.0
2021-12-08 11:00:00,24.0,18.11,5.89,589.0
2021-12-08 12:00:00,24.0,20.63,3.37,337.0
2021-12-08 13:00:00,24.0,21.11,2.89,289.0
2021-12-08 14:00:00,24.0,21.51,2.49,249.0
2021-12-08 15:00:00,24.0,25.58,-1.58,-158.0
2021-12-10 11:00:00,20.3,17.970000000000002,2.33,233.0
2021-12-10 12:00:00,20.3,18.92,1.38,138.0
2021-12-10 13:00:00,20.3,19.72,0.58,58.0
2021-12-10 14:00:00,20.3,21.82,-1.52,-152.0
2021-12-10 15:00:00,20.3,17.020000000000003,3.28,328.0
2021-12-13 11:00:00,22.99,21.23,1.76,176.0
2021-12-13 12:00:00,22.99,17.73,5.26,526.0
2021-12-13 13:00:00,22.99,17.28,5.71,571.0
2021-12-13 14:00:00,22.99,16.93,6.06,606.0
2021-12-13 15:00:00,22.99,18.03,4.96,496.0
2021-12-20 11:00:00,37.7,29.14,8.56,856.0
2021-12-20 12:00:00,37.7,29.46,8.24,824.0
2021-12-20 13:00:00,37.7,25.76,11.94,1194.0
2021-12-20 14:00:00,37.7,30.26,7.44,744.0
2021-12-20 15:00:00,37.7,30.66,7.04,704.0
2021-12-29 11:00:00,16.65,16.91,-0.26,-26.0
2021-12-29 12:00:00,16.65,12.31,4.34,434.0
2021-12-29 13:00:00,16.65,12.6,4.05,405.0
2021-12-29 14:00:00,16.65,13.510000000000002,3.14,314.0
2021-12-29 15:00:00,16.65,14.31,2.34,234.0
2021-12-31 11:00:00,19.9,20.335,-0.44,-43.5
2021-12-31 12:00:00,19.9,17.125,2.77,277.5
2021-12-31 13:00:00,19.9,20.935,-1.04,-103.5
2021-12-31 14:00:00,19.9,22.135,-2.24,-223.5
2021-12-31 15:00:00,19.9,21.375,-1.48,-147.5
2022-01-05 11:00:00,18.5,24.05,-5.55,-555.0
2022-01-05 12:00:00,18.5,24.05,-5.55,-555.0
2022-01-05 13:00:00,18.5,24.05,-5.55,-555.0
2022-01-05 14:00:00,18.5,24.05,-5.55,-555.0
2022-01-05 15:00:00,18.5,24.05,-5.55,-555.0
2022-01-07 11:00:00,23.95,17.635,6.32,631.5
2022-01-07 12:00:00,23.95,21.435,2.51,251.5
2022-01-07 13:00:00,23.95,18.085,5.86,586.5
2022-01-07 14:00:00,23.95,17.585,6.36,636.5
2022-01-07 15:00:00,23.95,17.785,6.16,616.5
2022-01-12 11:00:00,24.8,20.28,4.52,452.0
2022-01-12 12:00:00,24.8,18.68,6.12,612.0
